epoch,fail_output_auc,fail_output_binary_accuracy,fail_output_loss,fail_output_precision,fail_output_recall,learning_rate,loss,rul_output_loss,rul_output_mae,rul_output_rmse,val_fail_output_auc,val_fail_output_binary_accuracy,val_fail_output_loss,val_fail_output_precision,val_fail_output_recall,val_loss,val_rul_output_loss,val_rul_output_mae,val_rul_output_rmse
0,0.9444817304611206,0.8356049656867981,0.53687584400177,0.46362069249153137,0.9161938428878784,0.0005000000237487257,1.4814202785491943,0.26824671030044556,0.30610471963882446,0.4177682101726532,0.976789116859436,0.9427388310432434,0.6679760813713074,0.9065836071968079,0.6574193835258484,0.7777664661407471,0.06881115585565567,0.15027226507663727,0.1906052827835083
1,0.9825156927108765,0.9313389658927917,0.2715654671192169,0.6874127388000488,0.9578537940979004,0.0005000000237487257,0.5011543035507202,0.07336167246103287,0.17201028764247894,0.22219285368919373,0.9818974137306213,0.9297740459442139,0.2990490794181824,0.6831588745117188,0.9264516234397888,0.458511084318161,0.05750235170125961,0.14450903236865997,0.19707070291042328
2,0.9859998226165771,0.9366044402122498,0.23925945162773132,0.70441073179245,0.9630410075187683,0.0005000000237487257,0.39416101574897766,0.05277244374155998,0.14511258900165558,0.18826226890087128,0.9831835627555847,0.9322949647903442,0.2818030118942261,0.6871482133865356,0.9451612830162048,0.41929203271865845,0.05106126144528389,0.14307095110416412,0.19112969934940338
3,0.988822877407074,0.9424058198928833,0.21177765727043152,0.7232757806777954,0.9706597328186035,0.0005000000237487257,0.34142860770225525,0.04469766840338707,0.13368746638298035,0.1737038493156433,0.980454683303833,0.9205005764961243,0.3115246593952179,0.6454426646232605,0.9548386931419373,0.4868391454219818,0.06228145956993103,0.1572834551334381,0.21277306973934174
4,0.9916722178459167,0.9513757824897766,0.1807037591934204,0.7563426494598389,0.9761711955070496,0.0005000000237487257,0.2996632754802704,0.04019035026431084,0.12610624730587006,0.16469845175743103,0.9786198735237122,0.9267128705978394,0.3404161334037781,0.6671208143234253,0.9477419257164001,0.5044734477996826,0.0612824447453022,0.15702207386493683,0.2120860368013382
5,0.9926410913467407,0.9555695056915283,0.16918161511421204,0.7736963629722595,0.9764953851699829,0.0005000000237487257,0.27604350447654724,0.03644201532006264,0.11936284601688385,0.15679365396499634,0.979235053062439,0.9326550960540771,0.33275869488716125,0.6895084977149963,0.9412903189659119,0.4827035665512085,0.05734526365995407,0.147504985332489,0.2039034366607666
6,0.9941507577896118,0.9612777233123779,0.14920666813850403,0.798121452331543,0.9779542684555054,0.0005000000237487257,0.24540910124778748,0.03259210288524628,0.11280965805053711,0.1483604609966278,0.9762577414512634,0.935356080532074,0.36177775263786316,0.7001925110816956,0.9387096762657166,0.517675518989563,0.06069572642445564,0.14569327235221863,0.20675404369831085
7,0.9948700070381165,0.9650753736495972,0.14028939604759216,0.8146900534629822,0.979899525642395,0.0005000000237487257,0.22600600123405457,0.029414614662528038,0.10715662688016891,0.1409301459789276,0.9720680713653564,0.9336454272270203,0.4152483344078064,0.6968523263931274,0.9283871054649353,0.5549890398979187,0.05994108319282532,0.14244204759597778,0.20102612674236298
8,0.9961791634559631,0.9685235619544983,0.12106300890445709,0.8312706351280212,0.979899525642395,0.0005000000237487257,0.20126312971115112,0.026846792548894882,0.10230439156293869,0.13437733054161072,0.9735296964645386,0.9272530674934387,0.41608625650405884,0.675000011920929,0.9232258200645447,0.5786160826683044,0.06566967815160751,0.15492701530456543,0.21965399384498596
9,0.9963456988334656,0.9715057611465454,0.11654378473758698,0.8445249199867249,0.9826552271842957,0.0005000000237487257,0.1912851333618164,0.02527518756687641,0.09893851727247238,0.13007991015911102,0.9711295962333679,0.9322949647903442,0.46083205938339233,0.7013118267059326,0.896774172782898,0.6104208827018738,0.06531455367803574,0.15582223236560822,0.21909528970718384
